livestockType,productionType,productionSystem,numberOfAnimals,cycleDuration,location,housingType,vaccinationProgram,vetServiceFrequency,medicationIntensity,feedPrice,laborCost,electricityCost,totalCostEstimation
cattle,dairy,extensive,228,30,North-Central,premium,standard,monthly,medium,25394,45344,12128,222260
poultry,broiler,intensive,149,44,South-East,basic,minimal,monthly,high,31052,38320,29879,204803
poultry,layer,deep litter,186,27,North-West,premium,intensive,quarterly,high,44074,74481,28882,284511
poultry,layer,battery cage,311,48,North-Central,basic,intensive,weekly,high,33233,29668,23486,275120
cattle,dairy,extensive,253,35,South-East,standard,standard,weekly,medium,49941,76515,15808,318705
poultry,layer,battery cage,239,11,South-East,standard,standard,quarterly,high,32106,79628,17722,281062
cattle,dairy,extensive,475,12,South-West,premium,intensive,weekly,medium,28117,86629,27900,408263
poultry,broiler,deep litter,338,77,North-West,standard,standard,quarterly,low,30207,65817,16891,312122
cattle,dairy,semi-intensive,227,13,North-West,premium,standard,weekly,high,33054,68586,25771,273965
poultry,layer,intensive,478,6,South-East,premium,standard,weekly,medium,42777,75091,7213,406858
poultry,layer,deep litter,429,50,North-Central,premium,minimal,weekly,low,47757,92336,14358,416708
cattle,dairy,extensive,401,32,North-Central,premium,standard,quarterly,high,36763,24748,26641,325415
cattle,dairy,extensive,185,25,North-Central,basic,intensive,monthly,high,37229,93858,20007,280823
cattle,beef,semi-intensive,435,33,South-West,basic,intensive,quarterly,medium,21220,29421,15644,305005
cattle,dairy,semi-intensive,142,19,South-West,premium,minimal,quarterly,high,19740,72769,25691,208940
cattle,dairy,intensive,334,26,South-West,standard,intensive,weekly,high,43639,67534,11858,333670
poultry,layer,deep litter,100,32,North-Central,basic,standard,weekly,low,18554,69006,9950,166064
cattle,beef,intensive,477,12,South-West,standard,standard,monthly,high,39223,30112,14400,361458
cattle,beef,extensive,245,26,South-West,basic,minimal,monthly,high,41872,25900,24476,256620
cattle,dairy,extensive,382,27,North-Central,standard,intensive,monthly,low,21941,21013,14115,270010
cattle,dairy,semi-intensive,299,23,South-West,premium,minimal,quarterly,medium,35961,79829,27204,328455
cattle,dairy,semi-intensive,250,25,North-Central,premium,intensive,quarterly,medium,15062,31457,16572,203153
cattle,beef,intensive,147,20,South-East,premium,intensive,monthly,high,23113,97743,21426,238895
poultry,broiler,deep litter,107,48,South-East,standard,minimal,weekly,high,21227,20908,16841,133703
poultry,broiler,battery cage,30,68,North-West,premium,minimal,quarterly,high,45976,30344,12120,149416
cattle,dairy,semi-intensive,123,14,North-Central,basic,minimal,monthly,high,37636,90353,7079,234204
poultry,broiler,battery cage,428,77,South-West,basic,intensive,weekly,high,19381,94434,15358,362554
cattle,beef,intensive,433,36,North-West,standard,intensive,monthly,medium,20483,13654,19083,290203
poultry,layer,intensive,331,35,North-Central,premium,intensive,weekly,medium,16185,17492,12329,227691
poultry,broiler,intensive,371,64,South-East,basic,minimal,quarterly,low,17557,95119,20236,335969
poultry,layer,deep litter,359,24,North-Central,standard,minimal,monthly,medium,42257,11293,5095,280402
cattle,beef,extensive,321,23,North-Central,basic,minimal,quarterly,low,32991,17136,19318,262936
cattle,dairy,semi-intensive,494,14,North-Central,standard,intensive,quarterly,medium,24581,93408,13406,402976
poultry,layer,battery cage,10,45,North-Central,basic,minimal,quarterly,medium,42493,33610,10541,134137
cattle,beef,semi-intensive,252,24,North-Central,premium,standard,quarterly,medium,20346,43261,8433,218386
poultry,broiler,battery cage,488,72,South-West,basic,minimal,weekly,high,38622,66839,8710,396793
poultry,layer,battery cage,316,42,North-Central,basic,minimal,monthly,high,44422,70720,11030,328594
poultry,broiler,intensive,423,20,South-West,standard,intensive,weekly,high,46872,92912,28273,426429
cattle,beef,extensive,147,28,South-West,premium,minimal,weekly,medium,20827,41710,20350,177214
cattle,dairy,semi-intensive,451,36,South-West,basic,standard,weekly,medium,27961,10624,21716,313762
poultry,layer,battery cage,295,63,South-East,basic,intensive,monthly,high,27396,38233,18888,259413
poultry,layer,deep litter,37,36,North-West,premium,minimal,quarterly,low,44906,49617,9282,167211
poultry,broiler,intensive,339,43,North-Central,basic,intensive,weekly,low,33103,83621,17547,336874
cattle,dairy,intensive,75,32,South-West,basic,standard,monthly,low,41402,55116,23969,199389
cattle,dairy,intensive,420,33,North-West,basic,standard,quarterly,low,26387,79294,19462,361530
poultry,broiler,intensive,445,6,North-West,basic,intensive,weekly,low,30873,65776,22850,372872
cattle,beef,extensive,274,35,South-East,premium,standard,weekly,medium,43041,51570,6807,281459
cattle,beef,semi-intensive,195,14,South-East,premium,minimal,monthly,low,21837,90597,29629,261400
poultry,broiler,deep litter,209,67,South-East,basic,intensive,quarterly,medium,27565,73129,29489,262248
cattle,dairy,semi-intensive,21,34,North-Central,standard,intensive,quarterly,high,43489,52446,27318,177242
poultry,broiler,battery cage,158,49,South-West,standard,minimal,quarterly,low,21206,10973,14336,146721
poultry,layer,deep litter,396,77,North-Central,premium,standard,weekly,medium,49832,84700,7794,390158
poultry,layer,battery cage,206,80,South-East,premium,standard,weekly,high,37236,67619,15043,260134
cattle,beef,intensive,344,19,South-West,premium,standard,monthly,medium,43281,68214,29782,356558
poultry,broiler,battery cage,425,48,North-Central,premium,minimal,quarterly,low,37427,75625,28645,391624
poultry,layer,battery cage,75,51,North-West,standard,standard,quarterly,low,44274,32175,27795,186018
cattle,beef,intensive,203,18,South-West,standard,standard,monthly,high,21769,69677,18570,233285
cattle,beef,extensive,10,35,South-East,standard,intensive,quarterly,medium,48365,95071,29673,226474
cattle,beef,semi-intensive,171,20,South-West,basic,intensive,monthly,high,28571,64918,19502,227062
cattle,dairy,intensive,442,34,South-West,premium,standard,weekly,high,18784,80962,23257,362787
cattle,beef,intensive,416,14,North-West,basic,minimal,monthly,high,33219,59956,5183,339577
cattle,dairy,extensive,323,25,South-East,premium,intensive,weekly,high,41639,75563,10844,331185
cattle,beef,intensive,366,19,South-East,standard,standard,monthly,low,25475,83410,11326,328686
cattle,beef,semi-intensive,115,34,North-Central,premium,intensive,quarterly,high,32303,16444,29670,168220
poultry,layer,intensive,405,67,South-East,premium,intensive,weekly,high,23170,67948,29723,346511
poultry,layer,intensive,329,74,South-East,premium,minimal,weekly,medium,29853,73605,11900,309711
poultry,broiler,deep litter,142,29,North-Central,premium,intensive,weekly,high,37030,11312,10620,166992
cattle,dairy,intensive,141,23,South-East,premium,minimal,quarterly,medium,46681,44420,13128,221410
cattle,dairy,intensive,436,12,North-West,standard,minimal,weekly,low,28119,53625,19571,347434
poultry,layer,battery cage,498,26,South-East,standard,minimal,monthly,medium,25571,96016,25046,421204
poultry,broiler,deep litter,66,62,South-West,standard,intensive,quarterly,low,31768,90994,16480,204010
poultry,layer,deep litter,11,13,South-West,basic,intensive,quarterly,high,44299,73644,19965,187707
cattle,dairy,extensive,145,19,North-Central,standard,minimal,quarterly,low,23733,22870,20672,163508
poultry,broiler,battery cage,187,38,South-West,standard,standard,monthly,low,38048,84469,29465,283530
poultry,broiler,deep litter,426,41,North-Central,premium,intensive,weekly,low,24282,28584,12934,303082
cattle,beef,intensive,429,19,South-West,basic,minimal,quarterly,medium,44869,51835,16281,372354
cattle,beef,extensive,295,15,North-West,basic,standard,quarterly,low,32755,64842,29080,306932
poultry,layer,battery cage,456,70,North-West,premium,standard,quarterly,low,25744,50065,22528,352081
poultry,broiler,deep litter,79,58,South-East,premium,minimal,quarterly,medium,38741,50340,14406,181728
cattle,beef,semi-intensive,352,17,North-West,premium,minimal,weekly,high,15836,77682,24061,309415
poultry,layer,intensive,312,31,North-West,standard,standard,weekly,high,41959,83708,20059,343685
poultry,broiler,battery cage,368,42,North-Central,standard,intensive,quarterly,medium,19527,96162,7047,326263
cattle,dairy,semi-intensive,50,35,South-East,basic,intensive,quarterly,low,42111,88050,23993,221265
cattle,beef,extensive,233,14,South-East,premium,intensive,weekly,high,25270,96298,16102,279440
poultry,layer,deep litter,34,6,South-East,premium,standard,monthly,high,49971,61731,28204,206877
poultry,layer,deep litter,114,50,North-West,premium,minimal,weekly,medium,33983,31245,25743,181954
poultry,layer,intensive,10,13,North-West,standard,intensive,monthly,medium,16873,82179,14800,135725
poultry,broiler,intensive,259,34,North-West,premium,standard,weekly,high,32203,11823,7755,213484
poultry,broiler,intensive,110,46,North-Central,standard,intensive,quarterly,medium,25863,27964,28959,163649
poultry,layer,intensive,292,16,North-West,basic,standard,quarterly,low,49692,96785,27759,369928
cattle,dairy,semi-intensive,270,25,South-West,premium,intensive,weekly,medium,23745,83228,27970,293688
cattle,beef,intensive,73,14,North-West,basic,standard,monthly,low,29242,59387,28622,182993
cattle,beef,extensive,142,14,South-East,standard,standard,monthly,low,37017,73449,18884,237367
cattle,dairy,semi-intensive,429,12,North-Central,basic,minimal,weekly,low,36823,61837,7030,357013
poultry,layer,deep litter,241,71,North-West,premium,minimal,quarterly,high,24181,19265,29967,218094
cattle,beef,extensive,366,27,North-West,premium,minimal,monthly,medium,16625,95687,13730,325667
poultry,layer,deep litter,103,35,North-Central,basic,standard,monthly,low,32306,77856,13834,207802
poultry,layer,battery cage,312,51,North-West,basic,intensive,monthly,low,47532,10284,9606,270954
cattle,beef,semi-intensive,183,36,South-West,standard,intensive,weekly,high,19564,17252,27763,175643
poultry,layer,deep litter,262,20,North-Central,premium,intensive,quarterly,medium,21697,35524,11838,221756
poultry,broiler,deep litter,409,28,North-West,premium,intensive,weekly,low,41230,16635,5553,309148
poultry,layer,intensive,43,62,South-East,standard,intensive,quarterly,medium,37958,38214,8045,143675
poultry,broiler,intensive,324,37,South-West,premium,intensive,weekly,low,37176,31250,15275,282877
cattle,dairy,semi-intensive,113,18,North-Central,standard,intensive,monthly,medium,36619,59615,12350,201703
cattle,beef,intensive,319,25,South-West,standard,intensive,quarterly,low,22108,83769,11952,299437
poultry,broiler,intensive,263,15,South-West,basic,standard,monthly,medium,22826,84185,7630,268967
cattle,dairy,extensive,321,28,North-Central,standard,minimal,monthly,high,37251,36237,24400,295639
cattle,beef,extensive,313,19,North-West,premium,intensive,quarterly,high,15932,58883,27740,274987
cattle,dairy,semi-intensive,198,28,South-East,premium,minimal,monthly,low,47677,68153,10412,272919
cattle,dairy,intensive,367,34,South-East,basic,intensive,weekly,high,33884,19474,18846,289588
cattle,dairy,semi-intensive,444,30,North-West,basic,minimal,quarterly,low,47126,31694,9293,357239
cattle,beef,extensive,500,15,North-West,standard,minimal,monthly,medium,47973,29913,6650,382509
poultry,broiler,intensive,372,36,North-Central,standard,minimal,monthly,high,40683,37804,19748,324918
poultry,layer,intensive,254,51,North-Central,premium,minimal,quarterly,high,21697,45960,14996,231350
poultry,broiler,battery cage,480,38,North-Central,standard,standard,weekly,low,18125,11550,18135,305935
poultry,layer,intensive,263,33,South-West,basic,intensive,monthly,medium,40308,92038,7946,312100
poultry,layer,battery cage,392,75,North-Central,premium,standard,weekly,low,27606,31550,5850,288612
cattle,beef,semi-intensive,315,25,South-East,standard,intensive,weekly,high,31188,31329,26902,278107
poultry,layer,intensive,143,41,North-Central,premium,minimal,weekly,medium,23427,35395,18697,172446
poultry,broiler,intensive,282,36,South-West,premium,standard,monthly,medium,23096,42826,15637,245655
cattle,dairy,semi-intensive,475,32,South-East,basic,intensive,monthly,medium,25617,61178,17985,367897
cattle,dairy,intensive,125,26,South-East,premium,intensive,weekly,low,38478,35303,27291,202050
cattle,beef,extensive,95,15,North-West,standard,intensive,weekly,medium,35904,12106,19977,151391
poultry,layer,battery cage,245,8,North-Central,basic,standard,weekly,low,45770,15963,21623,251626
poultry,broiler,battery cage,484,80,South-West,premium,standard,weekly,low,25924,99178,29244,422270
poultry,broiler,deep litter,322,41,South-East,standard,intensive,monthly,high,38754,22399,23870,284777
cattle,dairy,intensive,291,27,North-West,standard,standard,weekly,high,40016,52584,5440,283556
cattle,beef,extensive,110,36,North-West,standard,standard,weekly,high,31878,91648,18073,228477
cattle,beef,extensive,172,28,North-Central,standard,intensive,quarterly,low,40599,95062,26498,288758
poultry,layer,intensive,271,16,North-West,premium,intensive,monthly,medium,24647,93667,6101,284562
poultry,broiler,deep litter,442,62,North-Central,standard,standard,quarterly,medium,22625,36146,5697,308093
cattle,beef,intensive,424,23,South-West,premium,standard,quarterly,medium,45472,76590,21326,400860
cattle,beef,extensive,200,31,North-Central,basic,standard,weekly,high,34432,12033,15668,196565
poultry,layer,deep litter,166,70,North-West,premium,minimal,monthly,medium,37859,98841,17700,275259
poultry,layer,deep litter,78,78,North-West,premium,intensive,weekly,high,49420,33560,24611,196011
cattle,beef,semi-intensive,442,19,North-West,premium,intensive,weekly,low,15937,31504,9402,293780
cattle,beef,semi-intensive,66,23,South-West,standard,minimal,monthly,medium,27149,94994,18715,201007
poultry,broiler,battery cage,54,28,North-Central,premium,standard,quarterly,medium,41021,91708,9319,210069
cattle,dairy,intensive,444,27,North-West,premium,intensive,quarterly,medium,22601,17155,12599,296956
poultry,broiler,deep litter,117,48,South-East,standard,intensive,weekly,high,27341,61763,5726,180671
cattle,beef,extensive,454,36,North-Central,premium,intensive,quarterly,high,19222,18432,19880,303756
cattle,beef,intensive,390,25,South-East,standard,intensive,weekly,low,44268,10235,24499,318270
poultry,broiler,intensive,237,39,North-West,standard,standard,weekly,low,18583,87444,5143,248253
poultry,layer,deep litter,428,35,North-West,basic,standard,weekly,medium,27545,96760,17177,383027
poultry,layer,deep litter,180,69,South-East,standard,intensive,monthly,high,17380,28812,29742,183314
cattle,beef,semi-intensive,190,15,South-East,basic,minimal,quarterly,medium,46349,42711,5682,236091
poultry,broiler,deep litter,262,17,South-West,basic,intensive,weekly,low,19231,77795,15121,262378
cattle,dairy,semi-intensive,96,12,South-West,standard,standard,quarterly,low,42863,98059,9748,241533
poultry,broiler,intensive,252,6,South-West,premium,minimal,quarterly,low,16761,59663,22001,241186
cattle,dairy,extensive,218,30,North-West,standard,standard,monthly,high,37236,64315,9328,257115
poultry,broiler,deep litter,190,61,South-West,standard,minimal,weekly,medium,45522,27071,21365,234480
cattle,beef,semi-intensive,438,23,North-West,premium,intensive,quarterly,low,38605,61738,22610,380558
poultry,broiler,battery cage,454,59,South-East,basic,standard,monthly,high,21256,16479,24738,310729
poultry,layer,intensive,482,77,South-East,standard,intensive,weekly,high,43713,43348,15952,387726
cattle,dairy,extensive,478,17,North-West,premium,minimal,weekly,low,32084,35247,26275,364690
cattle,dairy,intensive,494,13,South-East,standard,standard,monthly,medium,36586,51944,12751,384867
cattle,dairy,semi-intensive,278,31,South-West,standard,standard,quarterly,low,41511,11940,7094,241056
poultry,layer,deep litter,491,7,South-West,basic,standard,monthly,low,40730,69594,5663,402217
poultry,broiler,battery cage,362,64,North-West,basic,intensive,monthly,high,27933,25544,11517,273927
cattle,beef,semi-intensive,239,14,North-West,basic,standard,weekly,low,39886,40321,24030,263623
poultry,layer,deep litter,434,69,North-Central,premium,minimal,weekly,medium,44963,40759,6990,354675
poultry,broiler,battery cage,448,70,North-West,basic,standard,quarterly,medium,48444,29654,10774,361316
cattle,beef,extensive,109,12,South-East,standard,intensive,monthly,medium,43822,85824,25948,253916
cattle,beef,semi-intensive,491,24,South-East,premium,standard,monthly,low,39982,66677,8015,400156
poultry,layer,deep litter,420,77,North-West,standard,intensive,monthly,low,46903,57843,22077,383726
cattle,beef,semi-intensive,253,29,South-West,standard,intensive,quarterly,low,47166,12587,17124,250543
cattle,dairy,extensive,78,24,North-West,premium,intensive,monthly,low,37630,55865,27602,197727
cattle,dairy,semi-intensive,235,15,South-West,premium,minimal,quarterly,high,37708,85834,18036,296786
poultry,layer,intensive,461,73,South-West,premium,standard,weekly,high,26591,93018,15231,391931
cattle,beef,extensive,239,25,South-East,premium,intensive,weekly,high,32432,57347,18076,259787
poultry,layer,battery cage,412,60,South-East,basic,standard,weekly,low,49384,55063,18577,378408
cattle,beef,intensive,263,24,North-West,premium,intensive,monthly,medium,20831,94425,7073,274660
poultry,layer,battery cage,214,35,North-West,premium,intensive,weekly,low,37174,17417,28841,227606
cattle,dairy,extensive,397,27,North-West,premium,minimal,weekly,medium,32998,46594,28791,339881
poultry,broiler,intensive,315,30,South-West,basic,standard,quarterly,high,21008,86154,29917,315587
cattle,beef,semi-intensive,471,18,South-East,basic,intensive,monthly,high,27633,16596,23272,330634
cattle,dairy,intensive,443,20,North-Central,premium,minimal,monthly,medium,38225,30826,24607,353383
poultry,broiler,battery cage,224,33,South-East,premium,standard,monthly,medium,28720,72594,14630,256664
cattle,dairy,intensive,288,20,North-Central,premium,standard,monthly,low,36528,23620,29254,269930
cattle,beef,intensive,490,15,South-West,basic,standard,quarterly,low,33067,37785,19654,368573
poultry,layer,intensive,221,36,South-West,premium,standard,monthly,high,34325,37595,5749,222494
poultry,layer,deep litter,404,80,North-Central,premium,minimal,monthly,medium,44205,77942,20590,388942
cattle,dairy,semi-intensive,190,24,South-East,premium,minimal,weekly,low,22546,24369,12895,177356
poultry,broiler,battery cage,487,40,North-West,basic,intensive,monthly,high,29296,26712,14752,343556
poultry,layer,battery cage,173,77,North-Central,basic,intensive,weekly,low,35199,56964,29746,243608
poultry,layer,deep litter,44,59,South-West,standard,standard,quarterly,medium,25967,94606,18339,186879
cattle,dairy,extensive,121,34,North-Central,basic,minimal,quarterly,high,24685,16469,17687,144026
poultry,layer,deep litter,134,30,North-Central,standard,standard,monthly,medium,18592,97643,20382,222209
poultry,broiler,intensive,79,13,North-Central,basic,standard,monthly,medium,15436,65461,22917,158750
cattle,beef,semi-intensive,252,24,South-West,standard,standard,quarterly,high,18671,15802,26788,205932
cattle,beef,semi-intensive,228,17,South-West,standard,minimal,monthly,high,48103,81271,22096,313573
poultry,broiler,deep litter,99,42,North-West,standard,intensive,monthly,medium,20356,91078,29247,210537
cattle,dairy,extensive,187,13,South-West,basic,intensive,monthly,low,39107,44780,13254,229748
cattle,dairy,extensive,493,30,North-West,standard,standard,weekly,medium,20113,55335,9234,351295
poultry,broiler,battery cage,62,44,North-West,standard,intensive,quarterly,high,29641,36790,5013,132085
poultry,broiler,deep litter,495,69,North-Central,basic,minimal,quarterly,low,16453,56519,20646,357571
cattle,beef,semi-intensive,10,34,South-East,basic,minimal,weekly,low,29818,28396,19854,112886
poultry,layer,battery cage,494,80,North-Central,standard,intensive,quarterly,medium,33485,36758,26631,377359
cattle,dairy,intensive,392,30,North-Central,basic,intensive,quarterly,medium,49769,81429,27900,404867
poultry,layer,deep litter,211,48,South-West,premium,minimal,weekly,medium,49180,73074,7335,284269
cattle,dairy,extensive,194,34,South-East,premium,standard,weekly,low,34793,76089,18316,260991
poultry,layer,deep litter,175,33,North-Central,standard,minimal,weekly,high,30222,13564,25176,186684
cattle,dairy,semi-intensive,395,35,North-Central,basic,minimal,quarterly,low,31477,93966,19152,373572
poultry,layer,battery cage,172,70,North-Central,basic,intensive,weekly,high,44627,13075,24018,212347
poultry,layer,intensive,256,49,North-West,standard,minimal,weekly,medium,28248,60704,24971,270171
cattle,beef,extensive,216,27,North-Central,standard,intensive,monthly,medium,22260,72779,27126,252425
poultry,broiler,deep litter,473,47,South-East,basic,minimal,quarterly,low,32105,96671,24215,421596
poultry,broiler,intensive,376,32,North-West,premium,standard,quarterly,medium,29882,68933,19336,336033
poultry,broiler,deep litter,35,79,North-West,premium,minimal,monthly,medium,37545,98951,12072,203613
poultry,layer,intensive,93,16,South-East,standard,minimal,monthly,medium,36242,46407,28484,193875
poultry,layer,battery cage,410,24,North-Central,standard,intensive,weekly,high,27226,40515,7070,307037
poultry,broiler,deep litter,488,72,South-East,premium,standard,quarterly,medium,33041,41021,13605,364708
cattle,beef,semi-intensive,181,17,North-Central,premium,minimal,monthly,high,38916,29594,9120,207046
poultry,layer,intensive,32,23,South-West,basic,intensive,quarterly,low,31864,63935,14230,157893
cattle,dairy,extensive,451,13,South-East,premium,minimal,monthly,high,47319,59920,8946,389004
cattle,beef,semi-intensive,55,32,North-West,standard,intensive,monthly,medium,39069,55724,28948,190310
poultry,layer,intensive,287,79,South-West,standard,intensive,weekly,low,39990,78975,7715,310170
poultry,layer,deep litter,342,17,South-West,standard,minimal,monthly,low,42503,65571,12188,333765
cattle,beef,semi-intensive,13,32,South-West,standard,standard,monthly,medium,40700,61242,16865,166007
cattle,beef,semi-intensive,50,27,North-Central,premium,minimal,weekly,medium,16749,86715,18380,163593
poultry,layer,intensive,327,43,South-East,basic,standard,monthly,low,37687,29503,22168,290545
poultry,broiler,intensive,266,58,South-East,premium,standard,weekly,low,17714,30052,18279,216759
poultry,broiler,battery cage,281,64,North-Central,basic,intensive,monthly,low,29348,67471,17823,284490
cattle,dairy,semi-intensive,429,31,South-East,premium,intensive,quarterly,low,40255,24449,6470,325929
poultry,layer,intensive,276,79,South-West,premium,standard,monthly,high,26825,73097,9912,274659
cattle,dairy,intensive,10,19,South-West,basic,minimal,quarterly,medium,37085,45983,20377,145530
poultry,broiler,intensive,445,25,South-East,basic,standard,weekly,low,30948,50086,11315,345797
poultry,broiler,deep litter,157,37,South-East,standard,intensive,weekly,high,15165,79523,18312,206665
cattle,dairy,semi-intensive,192,31,South-East,standard,intensive,monthly,medium,48746,73643,22775,289910
poultry,layer,intensive,332,32,North-Central,premium,minimal,weekly,low,45998,17681,12609,288286
cattle,dairy,extensive,434,25,South-East,standard,intensive,weekly,low,26550,45210,25445,340755
cattle,dairy,intensive,457,15,North-West,premium,standard,quarterly,low,18252,53374,10681,329059
cattle,beef,extensive,50,13,South-West,premium,intensive,weekly,medium,43594,97236,28134,237558
poultry,layer,intensive,429,10,South-East,basic,standard,monthly,low,26708,97968,12473,378357
poultry,layer,intensive,418,29,North-West,basic,intensive,monthly,medium,16296,59412,27667,328671
cattle,beef,intensive,368,26,South-West,basic,intensive,weekly,high,29709,11878,15993,271289
poultry,layer,battery cage,332,56,North-Central,basic,intensive,monthly,medium,34842,82038,14253,331975
cattle,dairy,extensive,35,32,North-Central,standard,minimal,quarterly,high,32086,88749,7935,178356
poultry,broiler,battery cage,448,64,South-West,basic,standard,monthly,high,21592,51426,12042,330652
cattle,dairy,intensive,11,19,South-East,basic,intensive,weekly,low,17041,24876,11702,76160
cattle,dairy,intensive,153,16,North-Central,basic,standard,weekly,high,31646,77303,18410,235505
poultry,broiler,deep litter,43,53,South-West,standard,standard,quarterly,medium,23655,30854,18715,118379
poultry,layer,intensive,303,26,North-Central,premium,minimal,weekly,high,20280,69629,27598,289287
cattle,dairy,semi-intensive,427,33,South-East,premium,standard,quarterly,high,26402,71391,14181,351876
poultry,layer,intensive,369,50,South-West,standard,intensive,weekly,high,21615,84123,18308,330161
cattle,beef,semi-intensive,276,27,North-West,basic,standard,weekly,medium,25691,19874,20026,229282
poultry,layer,deep litter,61,79,South-West,basic,standard,monthly,low,15229,32172,16675,109805
cattle,dairy,extensive,26,31,North-Central,basic,minimal,weekly,low,32781,67038,27207,172807
poultry,broiler,intensive,19,23,North-Central,basic,intensive,weekly,medium,33720,21806,20514,119260
cattle,beef,extensive,439,34,South-West,standard,standard,quarterly,medium,33858,99851,14857,401924
cattle,dairy,extensive,480,29,South-West,premium,intensive,quarterly,high,28091,93037,9265,398484
cattle,beef,intensive,290,23,South-West,basic,minimal,quarterly,medium,21341,79892,8027,275601
cattle,beef,intensive,416,22,North-Central,standard,standard,quarterly,high,35824,89981,11475,381104
poultry,layer,deep litter,420,18,North-Central,standard,minimal,weekly,medium,34445,40493,12181,331564
cattle,beef,intensive,70,32,South-East,basic,standard,quarterly,high,44843,46766,27333,198785
poultry,layer,battery cage,111,21,South-West,standard,minimal,weekly,high,38115,66327,29859,227916
poultry,broiler,deep litter,322,39,South-East,standard,minimal,quarterly,low,48988,44888,9976,313840
poultry,broiler,intensive,97,75,South-West,premium,minimal,weekly,low,46184,19797,8069,168734
poultry,broiler,battery cage,273,40,South-East,standard,standard,quarterly,medium,48790,54686,15677,304443
cattle,beef,semi-intensive,353,29,South-East,basic,minimal,quarterly,low,31726,51464,12004,303420
poultry,broiler,battery cage,375,48,North-Central,basic,standard,weekly,low,24169,98376,16795,351009
poultry,layer,deep litter,169,43,South-East,premium,standard,quarterly,medium,21417,30836,7572,165742
poultry,broiler,deep litter,264,6,North-West,premium,standard,quarterly,low,17622,33121,29520,229885
cattle,beef,semi-intensive,349,23,North-Central,premium,standard,monthly,high,29246,28803,23729,285524
cattle,dairy,intensive,209,18,South-West,premium,minimal,quarterly,high,44481,26779,9740,229981
poultry,layer,intensive,400,14,North-Central,premium,minimal,quarterly,high,48307,17163,25802,339579
cattle,dairy,intensive,183,24,South-West,premium,minimal,quarterly,medium,41523,59197,24034,257777
cattle,dairy,extensive,421,25,North-West,premium,standard,monthly,high,30361,41314,20305,332841
cattle,beef,semi-intensive,178,24,North-Central,standard,minimal,weekly,medium,23031,33103,29982,198147
poultry,broiler,battery cage,263,69,South-East,basic,standard,quarterly,medium,22243,94632,24551,295169
cattle,dairy,extensive,270,33,South-East,basic,minimal,quarterly,low,16727,50729,9342,228525
poultry,broiler,deep litter,293,32,North-West,standard,minimal,quarterly,medium,29592,78165,19902,303751
cattle,dairy,intensive,343,25,North-Central,premium,standard,weekly,medium,22072,83113,16900,315657
cattle,dairy,semi-intensive,49,35,North-Central,basic,minimal,monthly,medium,45654,56362,25727,197897
poultry,layer,intensive,373,39,South-East,basic,intensive,monthly,high,47299,92671,18872,392641
poultry,broiler,intensive,42,32,South-East,standard,minimal,quarterly,high,17067,38119,13110,106363
cattle,beef,intensive,339,12,North-Central,standard,minimal,weekly,medium,24535,95501,28430,342501
poultry,layer,deep litter,264,41,North-Central,basic,standard,monthly,low,16942,78059,7676,251619
cattle,dairy,semi-intensive,242,20,North-West,standard,intensive,monthly,high,29302,67536,7932,255072
cattle,dairy,semi-intensive,309,15,South-West,basic,intensive,weekly,low,23265,26642,9717,237389
poultry,broiler,battery cage,232,39,South-West,basic,minimal,monthly,medium,36341,47921,5159,241762
poultry,layer,deep litter,54,10,North-Central,basic,standard,quarterly,high,40123,43733,26901,177880
poultry,broiler,battery cage,325,66,North-Central,basic,minimal,quarterly,medium,25589,75658,19716,309052
cattle,dairy,extensive,444,32,North-West,basic,minimal,monthly,low,44530,28152,17834,357046
cattle,beef,extensive,234,20,North-West,standard,standard,weekly,low,23532,73869,20553,258486
poultry,broiler,deep litter,91,43,North-West,basic,intensive,quarterly,medium,28015,79121,22528,203179
poultry,broiler,deep litter,49,44,South-East,premium,intensive,weekly,medium,42394,45882,20804,175974
poultry,broiler,intensive,308,70,North-West,basic,minimal,monthly,low,45730,24452,18585,288497
cattle,beef,extensive,90,14,South-East,standard,standard,weekly,low,45510,35397,12043,183460
poultry,layer,deep litter,213,41,South-West,basic,intensive,weekly,low,29209,68596,20775,254289
poultry,layer,intensive,415,38,North-West,standard,minimal,monthly,low,18869,15381,22685,283304
poultry,broiler,battery cage,400,32,North-West,basic,intensive,monthly,medium,17597,26028,11873,273095
cattle,beef,intensive,22,25,North-West,standard,intensive,weekly,medium,24796,46138,16479,123209
poultry,layer,intensive,446,22,South-East,basic,intensive,quarterly,high,25424,68287,17781,359916
poultry,layer,deep litter,471,44,South-East,premium,standard,monthly,low,18729,20161,22362,315481
cattle,beef,extensive,387,28,North-West,premium,standard,quarterly,medium,27805,67320,17138,333568
poultry,broiler,intensive,44,56,North-Central,standard,standard,quarterly,low,28762,67049,18231,164804
poultry,layer,deep litter,46,78,North-West,standard,standard,quarterly,low,43113,78004,9557,196787
poultry,broiler,battery cage,108,58,North-West,premium,minimal,weekly,high,38754,26683,19040,177231
cattle,dairy,extensive,56,27,North-Central,basic,standard,weekly,high,35053,60656,7772,166534
cattle,dairy,semi-intensive,499,24,North-West,basic,intensive,quarterly,high,23063,39847,7567,343040
poultry,broiler,deep litter,336,67,North-West,premium,standard,quarterly,low,45742,43230,5647,308361
