year,month,livestockType,productionType,productionSystem,numberOfAnimals,cycleDuration,location,housingStatus,housingType,capacity,equipmentCount,feedPrice,laborCost,electricityCost,mortalityRate,vaccinationProgram,vaccinesUsed,vetServiceFrequency,medicationIntensity,diseaseRiskLevel,parasiteControl,sellingPricePerKg,eggPricePerEgg,milkPricePerLiter,totalCostEstimation,projectedRevenue,projectedProfit,roi
2021,9,poultry,layer,semi-intensive,975,11,Ondo,need-to-build,steel-structure,997,0,947722,12331,10311,3.1,minimal,LaSota (Newcastle),monthly,high,high,none,1050,62,0,2461724,3221683,759959,30.87
2021,3,poultry,layer,extensive,358,5,Ondo,existing,existing,360,2,315655,54213,11962,5.6,standard,LaSota + Gumboro (IBD),weekly,high,low,none,1259,54,0,523884,456235,-67649,-12.91
2021,4,cattle,beef,extensive,57,24,Ondo,need-to-build,steel-structure,66,2,3310566,93847,23229,3.2,minimal,CBPP vaccine only,weekly,low,high,regular,1780,0,0,6188813,24553320,18364507,296.74
2021,5,cattle,beef,extensive,11,10,Ondo,need-to-build,block-concrete,11,3,604804,41839,22787,5.8,basic,CBPP vaccine only,monthly,low,medium,occasional,1382,0,0,1131113,3580071,2448958,216.51
2021,12,poultry,broiler,deep litter,698,11,Osun,existing,existing,776,3,459741,35899,3248,3.9,basic,LaSota (Newcastle),weekly,low,low,none,1170,39,0,686510,1726583,1040072,151.5
2021,9,poultry,broiler,deep litter,878,9,Osun,existing,existing,955,3,567111,56119,13396,11.2,basic,LaSota (Newcastle),quarterly,medium,low,none,1334,50,0,824869,2288158,1463289,177.4
2021,5,poultry,layer,semi-intensive,1461,3,Osun,need-to-build,wooden,1604,1,918035,9230,14812,8.5,basic,LaSota (Newcastle),quarterly,high,medium,none,1086,39,0,1998672,782037,-1216635,-60.87
2021,10,poultry,layer,semi-intensive,450,2,Osun,existing,existing,531,4,395696,55498,21921,10.3,basic,LaSota (Newcastle),quarterly,high,low,none,1237,44,0,617115,177606,-439509,-71.22
2021,9,cattle,beef,mixed,59,17,Osun,need-to-build,block-concrete,71,0,2209485,156835,34177,2.1,minimal,CBPP vaccine only,quarterly,medium,medium,none,1246,0,0,4870945,17992551,13121606,269.39
2021,8,cattle,beef,extensive,98,19,Osun,existing,existing,107,4,2334628,61895,38010,3.8,intensive,CBPP + FMD + Brucellosis + Anthrax,monthly,medium,low,regular,1876,0,0,2543352,44215444,41672092,1638.47
2021,10,poultry,broiler,semi-intensive,898,4,Oyo,need-to-build,steel-structure,1120,4,572334,17226,10134,9.3,intensive,LaSota + Gumboro + Marek's + IB,weekly,low,medium,none,1375,27,0,2091092,2463820,372728,17.82
2021,10,poultry,broiler,extensive,509,2,Oyo,existing,existing,572,1,511189,49378,11935,3.9,standard,LaSota + Gumboro (IBD),monthly,high,high,none,1461,60,0,728867,1572223,843356,115.71
2021,8,poultry,layer,extensive,186,11,Oyo,need-to-build,steel-structure,214,3,179494,39149,12005,7.2,basic,LaSota (Newcastle),weekly,low,medium,none,1496,30,0,518725,284803,-233922,-45.1
2021,10,poultry,layer,deep litter,349,7,Oyo,need-to-build,steel-structure,379,1,209293,25914,15183,4.9,minimal,LaSota (Newcastle),monthly,low,high,none,1721,27,0,750716,313645,-437072,-58.22
2021,11,cattle,beef,intensive,81,11,Oyo,not-required,existing,97,2,5559801,115643,14916,5.3,minimal,CBPP vaccine only,quarterly,low,high,none,2107,0,0,5713170,40405412,34692243,607.23
2021,2,cattle,beef,extensive,52,21,Oyo,need-to-build,block-concrete,61,1,1276018,50333,11131,1.1,standard,CBPP + FMD (Foot & Mouth),weekly,low,low,regular,2412,0,0,3533962,31011084,27477122,777.52
2021,9,poultry,broiler,deep litter,1726,4,Plateau,existing,existing,2228,3,1345106,13108,9969,4.8,minimal,LaSota (Newcastle),monthly,medium,low,none,1749,46,0,1763644,6322520,4558876,258.49
2021,3,poultry,broiler,battery cage,313,4,Plateau,existing,existing,385,2,174722,10471,14314,2.4,standard,LaSota + Gumboro (IBD),weekly,high,low,none,1573,29,0,312888,1057172,744284,237.88
2021,7,poultry,layer,deep litter,1010,3,Plateau,need-to-build,wooden,1070,0,516039,11252,4414,4.3,minimal,LaSota (Newcastle),weekly,low,low,none,1416,48,0,1132081,695930,-436151,-38.53
2021,11,poultry,layer,semi-intensive,1993,11,Plateau,need-to-build,block-concrete,2449,1,1623704,33794,11068,10.4,standard,LaSota + Gumboro (IBD),weekly,low,low,none,955,57,0,3529295,5598257,2068963,58.62
2021,9,cattle,beef,mixed,5,9,Plateau,existing,existing,5,4,200382,103397,9698,5.2,basic,CBPP vaccine only,quarterly,low,medium,none,2090,0,0,315099,2476650,2161551,685.99
2021,6,cattle,beef,extensive,19,16,Plateau,existing,existing,19,3,389841,111345,25061,1.1,intensive,CBPP + FMD + Brucellosis + Anthrax,monthly,low,high,none,1922,0,0,544618,9029076,8484457,1557.87
2021,6,poultry,broiler,extensive,1279,6,Rivers,need-to-build,wooden,1639,4,1301080,29227,19558,5.5,intensive,LaSota + Gumboro + Marek's + IB,weekly,medium,medium,none,1669,56,0,2504035,4437939,1933905,77.23
2021,6,poultry,broiler,deep litter,861,9,Rivers,existing,existing,877,0,650468,37292,4578,2.6,basic,LaSota (Newcastle),weekly,high,medium,none,1695,63,0,962348,3127192,2164844,224.95
2021,4,poultry,layer,deep litter,526,8,Rivers,need-to-build,block-concrete,675,4,481197,47729,21274,7.5,standard,LaSota + Gumboro (IBD),weekly,high,medium,none,1204,51,0,1206648,992562,-214086,-17.74
2021,8,poultry,layer,deep litter,563,9,Rivers,need-to-build,wooden,665,1,510378,49183,12443,1.3,standard,LaSota + Gumboro (IBD),weekly,medium,low,none,919,32,0,1006190,800181,-206009,-20.47
2021,6,cattle,beef,intensive,89,22,Rivers,need-to-build,block-concrete,103,1,4188534,90275,23026,2.1,basic,CBPP vaccine only,monthly,high,high,none,2286,0,0,8040689,49795366,41754677,519.29
2021,1,cattle,beef,extensive,53,20,Rivers,need-to-build,wooden,59,0,3055840,128937,34526,1.5,minimal,CBPP vaccine only,monthly,low,medium,occasional,1356,0,0,4591706,17697495,13105789,285.42
2021,5,poultry,broiler,extensive,1401,10,Sokoto,need-to-build,block-concrete,1549,4,989996,24123,10890,10.4,intensive,LaSota + Gumboro + Marek's + IB,monthly,low,high,none,1735,49,0,2437934,4791465,2353531,96.54
2021,5,poultry,broiler,deep litter,312,7,Sokoto,need-to-build,steel-structure,344,4,267784,21935,3952,1.3,standard,LaSota + Gumboro (IBD),weekly,low,high,none,1194,39,0,740715,808907,68193,9.21
2021,11,poultry,layer,semi-intensive,1263,3,Sokoto,existing,existing,1458,2,724727,30541,2905,2.3,basic,LaSota (Newcastle),weekly,low,high,none,1464,42,0,1040115,777389,-262726,-25.26
2021,7,poultry,layer,deep litter,698,8,Sokoto,need-to-build,block-concrete,837,4,488189,37195,5848,2.1,standard,LaSota + Gumboro (IBD),weekly,high,medium,none,1325,57,0,1311205,1558020,246815,18.82
2021,3,cattle,beef,mixed,14,23,Sokoto,existing,existing,18,2,417700,87958,28015,2.0,standard,CBPP + FMD (Foot & Mouth),monthly,medium,low,occasional,2019,0,0,541988,6925170,6383182,1177.74
2021,12,cattle,beef,mixed,72,21,Sokoto,need-to-build,wooden,83,2,3620442,54296,28000,4.9,minimal,CBPP vaccine only,quarterly,medium,medium,none,1743,0,0,5347057,29836674,24489617,458.0
2021,4,poultry,broiler,extensive,1425,10,Taraba,existing,existing,1826,0,1012315,15182,10968,7.9,intensive,LaSota + Gumboro + Marek's + IB,monthly,medium,high,none,1467,57,0,1378641,4235720,2857079,207.24
2021,5,poultry,broiler,deep litter,1119,5,Taraba,need-to-build,block-concrete,1424,1,896491,40454,16990,3.6,intensive,LaSota + Gumboro + Marek's + IB,quarterly,high,high,none,1250,59,0,2084752,2966469,881717,42.29
2021,11,poultry,layer,battery cage,575,12,Taraba,existing,existing,745,3,325451,8249,16169,3.6,basic,LaSota (Newcastle),monthly,medium,medium,none,1164,44,0,481613,1463352,981739,203.84
2021,7,poultry,layer,battery cage,109,6,Taraba,need-to-build,steel-structure,111,4,91885,49107,10735,2.9,minimal,LaSota (Newcastle),weekly,low,medium,none,913,59,0,304418,187335,-117083,-38.46
2021,10,cattle,beef,mixed,16,18,Taraba,not-required,existing,18,1,730130,78879,7791,1.8,standard,CBPP + FMD (Foot & Mouth),weekly,medium,medium,regular,2076,0,0,827306,8154528,7327222,885.67
2021,9,cattle,beef,intensive,45,16,Taraba,not-required,existing,47,3,2502867,132808,10670,4.9,standard,CBPP + FMD (Foot & Mouth),monthly,low,low,regular,1274,0,0,2674016,13630207,10956191,409.73
2021,5,poultry,broiler,deep litter,1054,10,Yobe,need-to-build,steel-structure,1168,0,710345,36840,19072,4.5,intensive,LaSota + Gumboro + Marek's + IB,monthly,medium,high,none,1656,62,0,2205093,3667136,1462042,66.3
2021,12,poultry,broiler,deep litter,1773,12,Yobe,existing,existing,2057,1,1167592,34929,14485,3.8,standard,LaSota + Gumboro (IBD),monthly,low,high,none,1676,52,0,1524288,6288984,4764696,312.58
2021,4,poultry,layer,semi-intensive,666,3,Yobe,existing,existing,747,2,571329,47017,13276,3.3,intensive,LaSota + Gumboro + Marek's + IB,monthly,low,medium,none,1656,55,0,800328,531318,-269010,-33.61
2021,1,poultry,layer,extensive,1947,7,Yobe,need-to-build,wooden,2211,1,1375550,22398,12765,8.7,standard,LaSota + Gumboro (IBD),weekly,medium,medium,none,1599,54,0,2751495,3359685,608190,22.1
2021,1,cattle,beef,extensive,87,10,Yobe,existing,existing,105,3,2637026,88241,7501,1.6,minimal,CBPP vaccine only,quarterly,high,low,regular,1479,0,0,2773637,31653558,28879921,1041.23
2021,11,cattle,beef,extensive,66,10,Yobe,need-to-build,wooden,83,4,3882595,41511,16480,5.0,basic,CBPP vaccine only,quarterly,high,medium,occasional,1382,0,0,5458016,21662850,16204834,296.9
2021,10,poultry,broiler,battery cage,1907,3,Zamfara,need-to-build,wooden,2117,2,1093494,24544,9741,8.7,basic,LaSota (Newcastle),weekly,low,high,none,1121,29,0,2358999,4293879,1934879,82.02
2021,10,poultry,broiler,extensive,1633,9,Zamfara,need-to-build,wooden,1696,1,950406,44662,15908,8.8,minimal,LaSota (Newcastle),weekly,high,high,none,1145,45,0,2198232,3751537,1553304,70.66
2021,4,poultry,layer,battery cage,906,4,Zamfara,need-to-build,wooden,1030,0,552743,34001,18094,4.2,basic,LaSota (Newcastle),monthly,high,high,none,1215,52,0,1189317,902666,-286651,-24.1
2021,1,poultry,layer,extensive,1456,5,Zamfara,need-to-build,steel-structure,1852,3,885094,11199,3279,9.1,intensive,LaSota + Gumboro + Marek's + IB,weekly,medium,high,none,1184,35,0,3081009,1158066,-1922943,-62.41
2021,10,cattle,beef,extensive,43,18,Zamfara,not-required,existing,49,2,2759672,21992,9528,1.2,minimal,CBPP vaccine only,weekly,medium,high,regular,1365,0,0,2810896,14497665,11686769,415.77
2021,6,cattle,beef,mixed,60,10,Zamfara,need-to-build,wooden,76,2,1203226,124901,28907,0.7,intensive,CBPP + FMD + Brucellosis + Anthrax,weekly,low,medium,regular,2197,0,0,2772412,32724315,29951903,1080.36
2022,5,poultry,broiler,semi-intensive,942,4,Abia,need-to-build,steel-structure,984,3,720133,59744,18529,9.4,standard,LaSota + Gumboro (IBD),quarterly,medium,high,none,1883,33,0,2505875,3535510,1029635,41.09
2022,4,poultry,broiler,battery cage,1495,9,Abia,need-to-build,wooden,1883,3,1306135,51262,14471,1.4,basic,LaSota (Newcastle),weekly,medium,medium,none,1570,69,0,2775075,5091438,2316363,83.47
2022,2,poultry,layer,battery cage,1759,4,Abia,need-to-build,steel-structure,1888,4,2137077,9743,21107,3.3,standard,LaSota + Gumboro (IBD),weekly,low,medium,none,1249,72,0,5523395,2449372,-3074023,-55.65
2022,8,poultry,layer,deep litter,857,7,Abia,existing,existing,1009,2,623147,58428,18579,2.7,minimal,LaSota (Newcastle),monthly,low,medium,none,1530,74,0,882524,2159700,1277176,144.72
2022,1,cattle,beef,extensive,98,24,Abia,existing,existing,114,1,7795054,70110,37546,5.2,standard,CBPP + FMD (Foot & Mouth),weekly,high,high,occasional,2602,0,0,7987617,60434052,52446435,656.6
2022,10,cattle,beef,intensive,56,8,Abia,existing,existing,58,1,4358058,70441,35727,1.4,intensive,CBPP + FMD + Brucellosis + Anthrax,weekly,medium,medium,none,2448,0,0,4532960,33792192,29259232,645.48
2022,8,poultry,broiler,battery cage,785,12,Adamawa,existing,existing,963,2,652446,54253,12553,6.6,intensive,LaSota + Gumboro + Marek's + IB,quarterly,medium,high,none,1642,50,0,963261,2648576,1685314,174.96
2022,6,poultry,broiler,deep litter,132,10,Adamawa,need-to-build,block-concrete,150,1,123554,56598,13607,8.1,basic,LaSota (Newcastle),monthly,high,medium,none,1728,34,0,343035,461164,118129,34.44
2022,2,poultry,layer,semi-intensive,1773,5,Adamawa,need-to-build,block-concrete,2124,4,1130730,10697,4907,1.5,intensive,LaSota + Gumboro + Marek's + IB,monthly,low,low,none,1500,35,0,3269693,1528104,-1741589,-53.26
2022,10,poultry,layer,deep litter,1624,10,Adamawa,existing,existing,1967,0,1329441,49109,20151,9.1,standard,LaSota + Gumboro (IBD),monthly,medium,high,none,1110,49,0,1754162,3616729,1862567,106.18
2022,6,cattle,beef,extensive,28,12,Adamawa,existing,existing,28,0,1580797,148310,8749,4.6,intensive,CBPP + FMD + Brucellosis + Anthrax,quarterly,medium,high,occasional,2244,0,0,1768797,14985432,13216635,747.21
2022,2,cattle,beef,mixed,56,21,Adamawa,need-to-build,steel-structure,58,4,3429359,121631,18885,2.5,minimal,CBPP vaccine only,weekly,high,medium,occasional,1848,0,0,6415266,25225200,18809934,293.21
2022,1,poultry,broiler,battery cage,1809,2,Akwa Ibom,existing,existing,1972,3,1862658,35168,17790,8.1,basic,LaSota (Newcastle),weekly,low,high,none,1875,39,0,2493049,6857693,4364644,175.07
2022,8,poultry,broiler,deep litter,390,4,Akwa Ibom,need-to-build,block-concrete,429,3,360026,23791,9986,1.2,basic,LaSota (Newcastle),monthly,medium,low,none,1915,48,0,878417,1623353,744936,84.8
2022,2,poultry,layer,semi-intensive,125,9,Akwa Ibom,need-to-build,block-concrete,144,4,126164,49474,22281,7.5,intensive,LaSota + Gumboro + Marek's + IB,monthly,medium,high,none,1565,63,0,369869,327797,-42072,-11.37
2022,7,poultry,layer,extensive,1870,9,Akwa Ibom,existing,existing,2133,3,1921926,35906,13318,7.8,standard,LaSota + Gumboro (IBD),quarterly,low,medium,none,1230,64,0,2425934,4965523,2539589,104.69
2022,8,cattle,beef,extensive,82,20,Akwa Ibom,existing,existing,90,2,3895813,92499,43254,4.5,basic,CBPP vaccine only,quarterly,low,high,regular,2446,0,0,4065219,47886565,43821346,1077.96
2022,8,cattle,beef,mixed,16,21,Akwa Ibom,existing,existing,17,1,1028606,39671,22298,1.6,basic,CBPP vaccine only,quarterly,low,medium,regular,3029,0,0,1096655,11922144,10825489,987.14
2022,4,poultry,broiler,semi-intensive,1436,4,Anambra,existing,existing,1547,4,1030861,34864,17590,1.4,minimal,LaSota (Newcastle),weekly,medium,medium,none,1188,41,0,1656279,3700586,2044307,123.43
2022,6,poultry,broiler,battery cage,1797,10,Anambra,existing,existing,2126,0,1647712,36425,22868,11.2,standard,LaSota + Gumboro (IBD),weekly,high,medium,none,1178,35,0,2444494,4135509,1691016,69.18
2022,2,poultry,layer,deep litter,1833,5,Anambra,need-to-build,wooden,2283,2,1996806,38855,23549,8.8,minimal,LaSota (Newcastle),quarterly,low,low,none,1222,47,0,3424428,1964243,-1460186,-42.64
2022,2,poultry,layer,battery cage,1759,9,Anambra,need-to-build,block-concrete,2156,4,1452090,51625,12818,2.9,basic,LaSota (Newcastle),monthly,medium,low,none,1710,42,0,3755740,3228099,-527641,-14.05
2022,9,cattle,beef,extensive,63,22,Anambra,not-required,existing,64,2,3249343,151569,34333,5.7,intensive,CBPP + FMD + Brucellosis + Anthrax,weekly,low,medium,occasional,2215,0,0,3513768,32897734,29383966,836.25
2022,6,cattle,beef,extensive,9,10,Anambra,not-required,existing,10,0,841011,156405,40645,5.9,standard,CBPP + FMD (Foot & Mouth),monthly,low,medium,none,2993,0,0,1043259,6336929,5293670,507.42
2022,11,poultry,broiler,semi-intensive,66,6,Bauchi,existing,existing,83,3,46065,36579,19020,5.9,standard,LaSota + Gumboro (IBD),quarterly,high,medium,none,1733,62,0,125440,236785,111345,88.76
2022,11,poultry,broiler,deep litter,1150,7,Bauchi,need-to-build,steel-structure,1369,1,983361,19438,13284,6.7,intensive,LaSota + Gumboro + Marek's + IB,weekly,medium,low,none,1384,46,0,2992197,3266918,274721,9.18
2022,1,poultry,layer,battery cage,1754,6,Bauchi,need-to-build,steel-structure,2249,0,1746836,21824,13197,9.1,minimal,LaSota (Newcastle),quarterly,high,medium,none,1191,65,0,4533252,3109053,-1424199,-31.42
2022,8,poultry,layer,extensive,744,5,Bauchi,existing,existing,908,2,680125,50607,14550,4.3,standard,LaSota + Gumboro (IBD),quarterly,high,low,none,1208,48,0,990683,854410,-136273,-13.76
2022,2,cattle,beef,extensive,17,10,Bauchi,not-required,existing,19,3,351316,29215,36213,5.1,standard,CBPP + FMD (Foot & Mouth),quarterly,high,low,occasional,2144,0,0,430103,8647288,8217185,1910.51
2022,6,cattle,beef,extensive,79,21,Bauchi,not-required,existing,82,3,4920243,159522,30708,6.0,intensive,CBPP + FMD + Brucellosis + Anthrax,quarterly,high,high,occasional,2043,0,0,5211580,37928295,32716715,627.77
2022,9,poultry,broiler,battery cage,1492,10,Bayelsa,existing,existing,1873,1,1046410,18738,16211,6.0,basic,LaSota (Newcastle),monthly,high,medium,none,2010,36,0,1568945,6201767,4632822,295.28
2022,2,poultry,broiler,deep litter,1120,4,Bayelsa,existing,existing,1261,2,989198,26815,3699,4.4,minimal,LaSota (Newcastle),monthly,high,medium,none,1211,66,0,1419776,2852612,1432836,100.92
2022,5,poultry,layer,extensive,54,3,Bayelsa,need-to-build,wooden,65,0,53399,42823,24251,5.6,standard,LaSota + Gumboro (IBD),weekly,low,high,none,1866,52,0,165617,39761,-125856,-75.99
2022,10,poultry,layer,extensive,1609,9,Bayelsa,need-to-build,wooden,1631,2,1635352,46229,12163,2.0,basic,LaSota (Newcastle),weekly,high,high,none,1988,46,0,3307893,3264017,-43875,-1.33
2022,11,cattle,beef,intensive,95,6,Bayelsa,not-required,existing,111,2,2540546,116324,13378,3.6,intensive,CBPP + FMD + Brucellosis + Anthrax,quarterly,medium,high,none,2388,0,0,2778909,54673260,51894351,1867.44
2022,1,cattle,beef,mixed,73,11,Bayelsa,existing,existing,90,2,2643172,140779,41117,4.8,basic,CBPP vaccine only,monthly,high,low,none,2090,0,0,2862794,36311660,33448866,1168.4
2022,10,poultry,broiler,extensive,1815,2,Benue,need-to-build,block-concrete,1906,1,2071519,28194,9099,5.6,standard,LaSota + Gumboro (IBD),monthly,high,low,none,1182,35,0,4495174,4455421,-39753,-0.88
2022,3,poultry,broiler,semi-intensive,2000,8,Benue,existing,existing,2247,0,1714109,11100,4418,7.8,basic,LaSota (Newcastle),monthly,low,low,none,1464,45,0,2033627,5939155,3905528,192.05
2022,6,poultry,layer,battery cage,540,11,Benue,existing,existing,550,3,514270,65417,9384,6.6,standard,LaSota + Gumboro (IBD),monthly,low,low,none,1391,56,0,740919,1553429,812510,109.66
2022,1,poultry,layer,semi-intensive,1184,11,Benue,existing,existing,1361,1,1220260,16896,16428,9.4,intensive,LaSota + Gumboro + Marek's + IB,quarterly,low,low,none,1522,69,0,1546032,4070912,2524880,163.31
2022,3,cattle,beef,extensive,76,20,Benue,existing,existing,77,0,6989782,126586,31757,5.0,standard,CBPP + FMD (Foot & Mouth),quarterly,low,low,regular,1616,0,0,7194911,29168800,21973889,305.41
2022,8,cattle,beef,extensive,85,12,Benue,not-required,existing,102,4,2522318,112100,8490,2.0,standard,CBPP + FMD (Foot & Mouth),quarterly,medium,high,occasional,1483,0,0,2706539,30883475,28176936,1041.07
2022,3,poultry,broiler,semi-intensive,1860,12,Borno,need-to-build,steel-structure,2395,2,1735868,22511,16406,11.8,standard,LaSota + Gumboro (IBD),monthly,low,high,none,1394,40,0,4702068,5031147,329079,7.0
2022,6,poultry,broiler,deep litter,1296,9,Borno,existing,existing,1602,0,1030769,54764,17257,8.4,minimal,LaSota (Newcastle),quarterly,low,high,none,1846,55,0,1237533,4821197,3583664,289.58
2022,11,poultry,layer,extensive,1426,3,Borno,need-to-build,block-concrete,1826,4,976627,48165,17127,4.9,minimal,LaSota (Newcastle),quarterly,low,high,none,1073,51,0,2555715,1037436,-1518279,-59.41
2022,8,poultry,layer,semi-intensive,1443,7,Borno,existing,existing,1458,0,1290952,50262,7260,10.0,minimal,LaSota (Newcastle),weekly,high,low,none,2070,75,0,1826626,3409088,1582461,86.63
2022,8,cattle,beef,intensive,40,24,Borno,not-required,existing,42,3,1133254,128770,28617,1.4,basic,CBPP vaccine only,weekly,low,high,occasional,2361,0,0,1310365,23279460,21969095,1676.56
2022,10,cattle,beef,mixed,34,22,Borno,not-required,existing,36,2,2091843,166016,29348,1.6,basic,CBPP vaccine only,quarterly,low,low,occasional,2241,0,0,2299528,18743724,16444196,715.11
2022,9,poultry,broiler,deep litter,1798,7,Cross River,need-to-build,block-concrete,1823,2,1725600,38689,15227,2.3,intensive,LaSota + Gumboro + Marek's + IB,weekly,medium,high,none,1109,63,0,4280174,4285865,5691,0.13
2022,7,poultry,broiler,battery cage,735,3,Cross River,existing,existing,873,1,668462,13885,8930,11.8,intensive,LaSota + Gumboro + Marek's + IB,monthly,low,medium,none,1233,45,0,900752,1758497,857745,95.23
2022,2,poultry,layer,semi-intensive,1771,6,Cross River,existing,existing,1809,0,2114721,58535,22398,6.2,minimal,LaSota (Newcastle),monthly,medium,low,none,1597,41,0,2552333,2043274,-509060,-19.94
2022,10,poultry,layer,deep litter,225,2,Cross River,existing,existing,245,3,255369,13330,6045,4.4,intensive,LaSota + Gumboro + Marek's + IB,weekly,high,medium,none,2007,51,0,402139,109701,-292438,-72.72
2022,11,cattle,beef,mixed,11,15,Cross River,need-to-build,block-concrete,12,0,540378,167358,37120,3.9,intensive,CBPP + FMD + Brucellosis + Anthrax,weekly,low,high,none,2397,0,0,1300880,6334672,5033792,386.95
2022,8,cattle,beef,mixed,91,6,Cross River,need-to-build,steel-structure,113,2,2321748,24855,34161,3.7,intensive,CBPP + FMD + Brucellosis + Anthrax,quarterly,high,low,occasional,2344,0,0,7683953,51352938,43668985,568.31
2022,10,poultry,broiler,semi-intensive,912,9,Delta,need-to-build,wooden,1009,1,645190,17020,16811,2.5,basic,LaSota (Newcastle),quarterly,high,medium,none,1590,60,0,1462247,3110422,1648175,112.72
2022,10,poultry,broiler,semi-intensive,646,7,Delta,existing,existing,727,4,674977,12876,14987,7.5,basic,LaSota (Newcastle),weekly,medium,medium,none,1921,70,0,960594,2525366,1564772,162.9
2022,4,poultry,layer,semi-intensive,437,12,Delta,need-to-build,steel-structure,458,3,375894,43568,25730,7.6,basic,LaSota (Newcastle),quarterly,low,low,none,1696,49,0,1199104,1187137,-11968,-1.0
2022,8,poultry,layer,battery cage,1469,5,Delta,need-to-build,steel-structure,1550,1,1578881,65607,10850,3.6,minimal,LaSota (Newcastle),monthly,low,low,none,1823,40,0,4156164,1416116,-2740048,-65.93
2022,1,cattle,beef,mixed,19,10,Delta,need-to-build,block-concrete,20,1,1675800,82977,44615,4.0,standard,CBPP + FMD (Foot & Mouth),weekly,low,medium,none,1671,0,0,2754988,7619760,4864772,176.58
2022,4,cattle,beef,intensive,27,12,Delta,existing,existing,33,1,2377068,26310,32730,5.1,standard,CBPP + FMD (Foot & Mouth),quarterly,low,medium,regular,1978,0,0,2453550,12670573,10217023,416.42
2022,2,poultry,broiler,battery cage,807,7,Ebonyi,existing,existing,1030,4,980322,61430,23735,11.7,standard,LaSota + Gumboro (IBD),weekly,medium,medium,none,1131,37,0,1418146,1773044,354898,25.03
2022,4,poultry,broiler,semi-intensive,701,11,Ebonyi,need-to-build,steel-structure,752,1,764062,44093,23170,11.1,basic,LaSota (Newcastle),quarterly,medium,high,none,1366,37,0,2032699,1872808,-159891,-7.87
2022,11,poultry,layer,extensive,478,3,Ebonyi,need-to-build,steel-structure,544,4,456290,53752,18238,1.7,standard,LaSota + Gumboro (IBD),weekly,high,high,none,1586,53,0,1509136,373550,-1135586,-75.25
2022,6,poultry,layer,extensive,1020,6,Ebonyi,need-to-build,steel-structure,1150,4,810115,62209,13691,8.1,standard,LaSota + Gumboro (IBD),quarterly,high,medium,none,1304,40,0,2862775,1124856,-1737919,-60.71
2022,7,cattle,beef,intensive,15,15,Ebonyi,need-to-build,steel-structure,16,2,304576,108450,19121,1.8,basic,CBPP vaccine only,monthly,medium,high,none,2101,0,0,1293474,7736932,6443458,498.15
2022,6,cattle,beef,intensive,61,13,Ebonyi,need-to-build,steel-structure,75,0,1434745,163683,26160,2.5,intensive,CBPP + FMD + Brucellosis + Anthrax,monthly,medium,medium,none,2431,0,0,5169969,36145931,30975962,599.15
2022,4,poultry,broiler,deep litter,1168,5,Edo,need-to-build,wooden,1216,2,1261968,54764,22959,3.8,minimal,LaSota (Newcastle),weekly,low,medium,none,1260,58,0,2342769,3114664,771894,32.95
2022,12,poultry,broiler,semi-intensive,1653,8,Edo,need-to-build,steel-structure,2024,0,1581472,54332,6557,6.2,standard,LaSota + Gumboro (IBD),weekly,medium,medium,none,1472,41,0,4676277,5021185,344907,7.38
2022,8,poultry,layer,extensive,1529,9,Edo,need-to-build,wooden,1542,2,1394628,64980,12881,10.3,basic,LaSota (Newcastle),quarterly,high,high,none,1514,69,0,2832076,4258548,1426472,50.37
2022,3,poultry,layer,extensive,1709,12,Edo,need-to-build,block-concrete,1720,1,1792443,33258,21385,5.6,basic,LaSota (Newcastle),monthly,high,low,none,1616,45,0,4029137,4355899,326762,8.11
2022,1,cattle,beef,mixed,82,24,Edo,need-to-build,block-concrete,105,1,1809162,87412,24644,5.7,basic,CBPP vaccine only,weekly,medium,high,regular,1892,0,0,6016577,36575198,30558621,507.91
2022,11,cattle,beef,mixed,27,7,Edo,not-required,existing,28,4,854370,34419,44123,3.2,standard,CBPP + FMD (Foot & Mouth),weekly,low,low,regular,1815,0,0,955894,11859210,10903316,1140.64
2022,11,poultry,broiler,deep litter,401,7,Ekiti,need-to-build,block-concrete,425,1,301833,34145,20548,11.9,minimal,LaSota (Newcastle),monthly,low,medium,none,1463,72,0,810618,1137070,326452,40.27
2022,4,poultry,broiler,extensive,375,11,Ekiti,need-to-build,steel-structure,419,1,393125,25723,3215,6.5,standard,LaSota + Gumboro (IBD),monthly,high,high,none,1210,33,0,1128863,933364,-195499,-17.32
2022,4,poultry,layer,extensive,1229,2,Ekiti,existing,existing,1532,2,1441436,29925,22893,8.1,standard,LaSota + Gumboro (IBD),quarterly,medium,medium,none,1877,48,0,1816498,542136,-1274361,-70.15
2022,3,poultry,layer,extensive,987,8,Ekiti,existing,existing,1146,4,1041955,12072,23903,2.1,intensive,LaSota + Gumboro + Marek's + IB,weekly,low,high,none,1226,71,0,1524251,2744215,1219964,80.04
2022,11,cattle,beef,extensive,57,23,Ekiti,existing,existing,61,2,1441929,150965,18708,0.9,minimal,CBPP vaccine only,quarterly,high,high,none,2101,0,0,1638894,29669797,28030903,1710.36
2022,9,cattle,beef,mixed,91,20,Ekiti,need-to-build,block-concrete,99,3,4368085,24595,10276,5.2,minimal,CBPP vaccine only,monthly,low,low,regular,2898,0,0,8941927,62501166,53559239,598.97
